"Name","Version","License","URL"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"Pygments","2.21.0","BSD-2-Clause","https://pygments.org"
"SQLAlchemy","2.0.52","MIT","https://www.sqlalchemy.org"
"agate","1.9.1","MIT License","https://agate.readthedocs.org/"
"altair","6.2.2","BSD License","https://github.com/vega/altair"
"annotated-doc","0.0.5","MIT","https://github.com/fastapi/annotated-doc"
"annotated-types","0.8.0","MIT","https://github.com/annotated-types/annotated-types"
"anyio","4.14.2","MIT","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"attrs","26.1.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"babel","2.18.0","BSD License","https://babel.pocoo.org/"
"blinker","1.9.0","MIT License","https://github.com/pallets-eco/blinker/"
"certifi","2026.7.22","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"charset-normalizer","3.5.1","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"click","8.4.2","BSD-3-Clause","https://github.com/pallets/click/"
"colorama","0.4.6","BSD License","https://github.com/tartley/colorama"
"contourpy","1.3.3","BSD License","https://github.com/contourpy/contourpy"
"cycler","0.12.1","BSD License","https://matplotlib.org/cycler/"
"daff","1.4.2","MIT License","https://github.com/paulfitz/daff"
"dbt-adapters","1.24.5","Apache Software License","https://github.com/dbt-labs/dbt-adapters/tree/main/dbt-adapters"
"dbt-common","1.39.0","Apache-2.0","https://github.com/dbt-labs/dbt-common"
"dbt-core","1.11.14","Apache-2.0","https://github.com/dbt-labs/dbt-core"
"dbt-extractor","0.6.0","Apache Software License","https://github.com/dbt-labs/dbt-parser-generator/"
"dbt-postgres","1.10.2","Apache Software License","https://github.com/dbt-labs/dbt-adapters/tree/main/dbt-postgres"
"dbt-protos","1.0.565","Apache Software License","https://github.com/dbt-labs/proto-python-public"
"dbt-semantic-interfaces","0.9.0","Apache-2.0","UNKNOWN"
"deepdiff","8.6.2","MIT License","https://zepworks.com/deepdiff/"
"fastapi","0.128.8","MIT","https://github.com/fastapi/fastapi"
"fonttools","4.63.0","MIT","http://github.com/fonttools/fonttools"
